Reported on,Co. Name,Ext. Requestor,Property Name,Category,Order Group Description,Floor/unit or space,"Breakdown?
(Yes/No)",Description,Nature of feedback/complants (& Finding),Action taken,Start date & time,Acknowledged date,Technically completed on,Status,Customer/ FED Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 8:58,CUSHMAN & WAKEFIELD (S) PTE LTD,Sabri,SYMBIOSIS,Feedback,Lift,,,Lift mantrap,Symbiosis Level 12 PL7 mantrap,,,2/27/2017 9:20,3/4/2017 14:59,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 9:22,CUSHMAN & WAKEFIELD (S) PTE LTD,Sabri,SYMBIOSIS,Feedback,Lift,,,Lift not working,Symbiosis Basement 2 Goods Lift error drive,,,2/27/2017 9:28,3/4/2017 14:59,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 9:30,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis South Level 1 PL lobby ceiling light blown,,,2/27/2017 9:34,3/2/2017 19:21,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 9:36,CUSHMAN & WAKEFIELD (S) PTE LTD,Jeffrey Low,SYMBIOSIS,Feedback,ACMV,,,Toilet fan out of  order,Symbiosis Level 21 Male Toilet fan out of order.,,,2/27/2017 9:39,3/4/2017 15:00,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 9:41,CBM PTE. LTD.,Rhea,CONNEXIS,Feedback,lighting,,,Replace light tube/bulb,Connexis South Level 18 outside PL19 exit light blown.,,,2/27/2017 9:49,3/2/2017 19:21,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 9:53,,,CleanTech 1,Others/Request for Information,Building,,,SMM/CTO/02-237 Quote for reinstatement work to #04-08,"The tenant unit 04-08 is reinstate back to original condition bare unit.
Ref: SMM/CTO/02-237",,,2/27/2017 9:58,,In progress,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 10:38,PICO GUARDS PTE LTD,Kumar,CONNEXIS,Feedback,Building,,,Door handle loose / broken,Connexis South Basement 4 FL2 lift lobby door handle broken.,,,2/27/2017 10:41,3/2/2017 19:22,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 10:42,PICO GUARDS PTE LTD,Ramesh,SYMBIOSIS,Feedback,Electrical,,No,Power tripped,Symbiosis Basement 1 SCC power tripped.,,,2/27/2017 10:46,3/4/2017 15:00,Completed,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 11:12,,,MT1,Feedback,Pest Control,,,Complaint from CSS (#08-03)-Found filter flies in pantry flow trap .,"Attended the complaint. Found live maggots in the pantry flow trap.

Advised tenet ;
To put up air curtain in the work space .
Ask tenant side pest control to do frequent servicing.
To pour hot boiling water into the flow trap every day.",,,2/27/2017 11:36,3/28/2017 10:51,Completed,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2017 12:18,,,ARC20,Feedback,lighting,,,00569 Supply & replace exit light fitting and electrical ballast for B20 ARC1,JTCG12-00569 Supply & replace exit light fitting and electrical ballast for B20 ARC1,,,,,Reported,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
